Date,Open,High,Low,Close,Adj Close
2003-12-01,1.7238109111785889,1.8343911170959473,1.7172982692718506,1.7888127565383911,1.7888127565383911
2004-01-01,1.7888127565383911,1.8578037023544312,1.764103889465332,1.8244845867156982,1.8244845867156982
2004-02-01,1.8244845867156982,1.9140952825546265,1.8141906261444092,1.8744845390319824,1.8744845390319824
2004-03-01,1.8742035627365112,1.875011682510376,1.7914083003997803,1.843385934829712,1.843385934829712
2004-04-01,1.8430120944976807,1.8593926429748535,1.758891224861145,1.7785998582839966,1.7785998582839966
2004-05-01,1.7785998582839966,1.8421974182128906,1.74871027469635,1.8326095342636108,1.8326095342636108
2004-06-01,1.8326095342636108,1.8485996723175049,1.8018990755081177,1.8202005624771118,1.8202005624771118
2004-07-01,1.8202005624771118,1.8771939277648926,1.8100857734680176,1.822090983390808,1.822090983390808
2004-08-01,1.822090983390808,1.8464833498001099,1.7859057188034058,1.8024837970733643,1.8024837970733643
2004-09-01,1.8024837970733643,1.8158048391342163,1.7715104818344116,1.8128092288970947,1.8128092288970947
2004-10-01,1.8129079341888428,1.8450864553451538,1.7750953435897827,1.8414850234985352,1.8414850234985352
2004-11-01,1.8413832187652588,1.9131065607070923,1.830496072769165,1.9095995426177979,1.9095995426177979
2004-12-01,1.9095995426177979,1.9548813104629517,1.9028047323226929,1.9197911024093628,1.9197911024093628
2005-01-01,1.9197911024093628,1.9204179048538208,1.8534992933273315,1.8841972351074219,1.8841972351074219
2005-02-01,1.8843036890029907,1.9261142015457153,1.851611852645874,1.9192017316818237,1.9192017316818237
2005-03-01,1.9193121194839478,1.9324043989181519,1.8600151538848877,1.889501929283142,1.889501929283142
2005-04-01,1.8893948793411255,1.9215987920761108,1.8676927089691162,1.9087976217269897,1.9087976217269897
2005-05-01,1.9087976217269897,1.9094902276992798,1.8126121759414673,1.8176862001419067,1.8176862001419067
2005-06-01,1.8176862001419067,1.8392157554626465,1.7878854274749756,1.7902858257293701,1.7902858257293701
2005-07-01,1.7904142141342163,1.7907025814056396,1.7280110120773315,1.7543859481811523,1.7543859481811523
2005-08-01,1.7546013593673706,1.8176862001419067,1.7545090913772583,1.8033939599990845,1.8033939599990845
2005-09-01,1.8031988143920898,1.850104570388794,1.7573148012161255,1.7646021842956543,1.7646021842956543
2005-10-01,1.7646021842956543,1.7900936603546143,1.739614486694336,1.7687844038009644,1.7687844038009644
2005-11-01,1.7686907052993774,1.7788846492767334,1.7059897184371948,1.7309123277664185,1.7309123277664185
2005-12-01,1.7310022115707397,1.7806901931762695,1.7140016555786133,1.7206965684890747,1.7206965684890747
2006-01-01,1.7206965684890747,1.793014407157898,1.7182129621505737,1.7785998582839966,1.7785998582839966
2006-02-01,1.778789758682251,1.781610131263733,1.7289971113204956,1.7542012929916382,1.7542012929916382
2006-03-01,1.7538013458251953,1.7622076272964478,1.7239001989364624,1.7377101182937622,1.7377101182937622
2006-04-01,1.7377101182937622,1.8266842365264893,1.725714921951294,1.8242847919464111,1.8242847919464111
2006-05-01,1.8241850137710571,1.901285171508789,1.821095585823059,1.8716076612472534,1.8716076612472534
2006-06-01,1.8715026378631592,1.8876829147338867,1.8097909688949585,1.8490097522735596,1.8490097522735596
2006-07-01,1.8490097522735596,1.868984341621399,1.8184133768081665,1.8682161569595337,1.8682161569595337
2006-08-01,1.8682161569595337,1.9136924743652344,1.863203525543213,1.9030944108963013,1.9030944108963013
2006-09-01,1.9029858112335205,1.9082149267196655,1.8610882759094238,1.8717128038406372,1.8717128038406372
2006-10-01,1.8717128038406372,1.909781813621521,1.852400779724121,1.9082876443862915,1.9082876443862915
2006-11-01,1.9082149267196655,1.9695507287979126,1.8841972351074219,1.9664137363433838,1.9664137363433838
2006-12-01,1.966800332069397,1.9840089082717896,1.943899154663086,1.9592092037200928,1.9592092037200928
2007-01-01,1.9592092037200928,1.9914368391036987,1.9270051717758179,1.9634021520614624,1.9634021520614624
2007-02-01,1.9640963077545166,1.9910005331039429,1.9408053159713745,1.9640191793441772,1.9640191793441772
2007-03-01,1.9640963077545166,1.9721921682357788,1.9187965393066406,1.9681940078735352,1.9681940078735352
2007-04-01,1.9681940078735352,2.0130040645599365,1.9595931768417358,2.0,2.0
2007-05-01,2.0,2.0073065757751465,1.9683101177215576,1.9798059463500977,1.9798059463500977
2007-06-01,1.979884386062622,2.010010004043579,1.9630937576293945,2.008314371109009,2.008314371109009
2007-07-01,2.008314371109009,2.065091609954834,2.0065009593963623,2.029385566711426,2.029385566711426
2007-08-01,2.0288915634155273,2.0459940433502197,1.9673033952713013,2.017186403274536,2.017186403274536
2007-09-01,2.017186403274536,2.0487184524536133,1.988387942314148,2.0457847118377686,2.0457847118377686
2007-10-01,2.0456173419952393,2.0821187496185303,2.0253164768218994,2.079780340194702,2.079780340194702
2007-11-01,2.0796074867248535,2.1158199310302734,2.036203622817993,2.0566821098327637,2.0566821098327637
2007-12-01,2.0566821098327637,2.06799578666687,1.9700939655303955,1.9866102933883667,1.9866102933883667
2008-01-01,1.9855058193206787,1.9944156408309937,1.9492037296295166,1.9906044006347656,1.9906044006347656
2008-02-01,1.990485429763794,1.9972835779190063,1.9367834329605103,1.9866102933883667,1.9866102933883667
2008-03-01,1.987083911895752,2.039318084716797,1.9725810289382935,1.9842058420181274,1.9842058420181274
2008-04-01,1.9780046939849854,2.0032052993774414,1.960399866104126,1.9877949953079224,1.9877949953079224
2008-05-01,1.9787092208862305,1.9897329807281494,1.9380972385406494,1.979492425918579,1.979492425918579
2008-06-01,1.9746066331863403,1.996605634689331,1.9417853355407715,1.992984652519226,1.992984652519226
2008-07-01,1.994614601135254,2.0132877826690674,1.9654860496520996,1.9831039905548096,1.9831039905548096
2008-08-01,1.9825141429901123,1.9842844009399414,1.80890691280365,1.810511827468872,1.810511827468872
2008-09-01,1.810610294342041,1.8662983179092407,1.7452921867370605,1.7820864915847778,1.7820864915847778
2008-10-01,1.782785415649414,1.7870864868164062,1.5294963121414185,1.607303500175476,1.607303500175476
2008-11-01,1.607303500175476,1.6396130323410034,1.4591935873031616,1.5347779989242554,1.5347779989242554
2008-12-01,1.5353671312332153,1.5715116262435913,1.4402787685394287,1.4656095504760742,1.4656095504760742
2009-01-01,1.4496954679489136,1.5360039472579956,1.3529969453811646,1.4412959814071655,1.4412959814071655
2009-02-01,1.4412959814071655,1.4970957040786743,1.4059951305389404,1.4277962446212769,1.4277962446212769
2009-03-01,1.4277962446212769,1.477148413658142,1.3665122985839844,1.434493899345398,1.434493899345398
2009-04-01,1.4345967769622803,1.5064778327941895,1.4280002117156982,1.4788086414337158,1.4788086414337158
2009-05-01,1.479202389717102,1.6235084533691406,1.4759057760238647,1.617861270904541,1.617861270904541
2009-06-01,1.6178873777389526,1.6742005348205566,1.5805778503417969,1.6466867923736572,1.6466867923736572
2009-07-01,1.64676833152771,1.670508861541748,1.5986955165863037,1.670508861541748,1.670508861541748
2009-08-01,1.6714023351669312,1.7005066871643066,1.6226917505264282,1.629195213317871,1.629195213317871
